,t,dt,y,dy,u,du,s,ds,v,dv,r,dr,CF,dCF,Q,dQ,Qc,dQc
0,7.1,0.05,20.0,1.0,410,0.5,0.0010666666666666667,5.333333333333333e-05,0.00015023474178403758,8.569728228526086e-06,3.097594410211498e-05,8.834688282645469e-07,0.9999999798270365,8.630334587425162e-10,8.982592564822474e-19,7.795353647160005e-20,8.982592383616962e-19,7.7953535674274e-20
1,9.8,0.05,20.0,1.0,290,0.5,0.0010666666666666667,5.333333333333333e-05,0.00010884353741496598,5.9975010412328185e-06,2.6365783915365664e-05,7.264042507294621e-07,0.999999976299715,9.794505245489063e-10,7.831338020470858e-19,6.607863678074988e-20,7.831337834865915e-19,6.607863598170817e-20
2,5.4,0.05,20.0,1.0,360,0.5,0.0010666666666666667,5.333333333333333e-05,0.00019753086419753085,1.1705532693187013e-05,3.551868236217437e-05,1.0524054033236848e-06,0.999999982407101,7.819066106458465e-10,1.5423393556681624e-18,1.392389696089313e-19,1.542339328533942e-18,1.392389683652795e-19
3,12.1,0.05,20.0,1.0,360,0.5,0.0010666666666666667,5.333333333333333e-05,8.81542699724518e-05,4.77198734148396e-06,2.372799494272361e-05,6.422246565076017e-07,0.9999999736650067,1.0691789351108258e-09,4.598249420880516e-19,3.797567100922326e-20,4.598249299785649e-19,3.7975670500769365e-20
4,7.0,0.05,20.0,1.0,370,0.5,0.0010666666666666667,5.333333333333333e-05,0.0001523809523809524,8.70748299319728e-06,3.119641623745357e-05,8.913261782129592e-07,0.9999999799696033,8.584455539793316e-10,1.0167736831478901e-18,8.852604847484526e-20,1.0167736627815099e-18,8.852604757447823e-20
5,3.0,0.05,20.0,1.0,330,0.5,0.0010666666666666667,5.333333333333333e-05,0.00035555555555555557,2.3703703703703703e-05,4.7653312939826816e-05,1.588443764660894e-06,0.9999999868870273,6.556486309222304e-10,4.063284758333472e-18,4.1248496789142813e-19,4.063284705051729e-18,4.1248496514661107e-19
6,6.4,0.05,20.0,1.0,280,0.5,0.0010666666666666667,5.333333333333333e-05,0.00016666666666666666,9.635416666666666e-06,3.262599304624496e-05,9.430951114930182e-07,0.9999999808472774,8.304500626735117e-10,1.5368981532569116e-18,1.3602234771570655e-19,1.5368981238211275e-18,1.3602234638682544e-19
7,3.0,0.05,20.0,1.0,310,0.5,0.0010666666666666667,5.333333333333333e-05,0.00035555555555555557,2.3703703703703703e-05,4.7653312939826816e-05,1.588443764660894e-06,0.9999999868870273,6.556486309222304e-10,4.325432162096921e-18,4.395197196969452e-19,4.325432105377647e-18,4.395197167694987e-19
8,5.2,0.05,20.0,1.0,250,0.5,0.0010666666666666667,5.333333333333333e-05,0.00020512820512820514,1.2228796844181458e-05,3.6195289489590084e-05,1.0788980520935504e-06,0.9999999827359692,7.719013647713231e-10,2.3503257404371133e-18,2.1487401096226988e-19,2.3503256998610172e-18,2.1487400906689797e-19
9,9.0,0.05,20.0,1.0,190,0.5,0.0010666666666666667,5.333333333333333e-05,0.00011851851851851852,6.584362139917696e-06,2.751265305358649e-05,7.642403625996248e-07,0.9999999772876652,9.463472657232376e-10,1.3581749494314351e-18,1.1675539038971984e-19,1.358174918584111e-18,1.167553890232375e-19
